Country,Country_Code,Year,Budget_Deficit_Surplus,Capital_Expenditure,Consumer_Price_Index_(CPI),Defence_Expenditure,Education_Expenditure,Expenditure,Exports,Food_Inflation_,Food_Inflation_YoY,GDP_Growth_Rate,GDP_per_Capita,GDP_per_Capita_,GDP_per_capita,Government_Debt,Health_Expenditure,Imports,Inflation_Rate,Inflation_Rate_,Interest_Rate,Labour_Force,Nominal_GDP,Population,Real_GDP,Revenue,Tax_Revenue,Unemployment_Rate,Value_Added_Tax_(VAT),Fiscal_Balance_Ratio,Debt_GDP_Ratio,Expenditure_Growth,Revenue_Growth,Revenue_Volatility,Fiscal_Gap,Debt_Growth,Trade_Balance,Deficit_Revenue_Ratio,Tax_GDP_Ratio,CapEx_Share,Health_Per_Capita
Algeria,DZA,2002.0,,,101.4325,,,,18.7,,,5.4,,,,,,-12.01,,,,,1960688.0,,,,,,,,,,,,,,30.71,,,,
Algeria,DZA,2003.0,,,105.755,,,,24.5,,,6.5,,,,,,-13.32,,,,,2274863.2,,,,,,,,,,,,,,37.82,,,,
Algeria,DZA,2004.0,,,109.95166666666667,,,,32.2,5.621666666666667,,4.58,,,,,,-17.95,,5.2025,,,2649341.98,,,,,,,,,,,,,,50.150000000000006,,,,
Algeria,DZA,2005.0,,,111.47166666666668,,,,46.3,1.5274999999999999,,5.38,,,,,,-19.85,,2.4091666666666667,,,3137592.38,,,,,,,,,,,,,,66.15,,,,
Algeria,DZA,2006.0,,,114.04833333333333,,,,54.7,0.09000000000000004,,2.88,,,,,,-20.68,,1.14,,,3576662.0,,,,,,,,,,,,,,75.38,,,,
Algeria,DZA,2007.0,,,118.24416666666667,,,,60.6,5.704999999999999,,3.1399999999999997,,,,,,-26.35,,3.1925000000000003,,,3949188.4,,,,,,,,,,,,,,86.95,,,,
Algeria,DZA,2008.0,,,123.98916666666666,,,,78.6,8.213333333333333,,2.46,,,,,,-37.99,,4.679166666666666,,,4659877.6,,,,,,,,,,,,,,116.59,,,,
Algeria,DZA,2009.0,,,131.1025,,,,45.2,7.114166666666667,,1.1800000000000002,,,,,,-37.4,,5.2124999999999995,,,4368065.220000001,,,,,,,,,,,,,,82.6,,,,
Algeria,DZA,2010.0,,,136.23,,,,57.1,6.864166666666667,,4.82,,,,,,-38.89,,4.963333333333334,,,5289886.4,,,,,,,,,,,,,,95.99000000000001,,,,
Algeria,DZA,2011.0,,,142.39333333333335,,,,72.9,3.4758333333333336,,2.98,,,,,,-46.93,,3.8866666666666667,,,6369868.0,,,,,,,,,,,,,,119.83000000000001,,,,
Algeria,DZA,2012.0,,,155.05416666666667,,,,71.7,8.635833333333332,,2.4200000000000004,,,,,,-51.57,,7.1375,,,7044724.0200000005,,,,,,,,,,,,,,123.27000000000001,,,,
Algeria,DZA,2013.0,,,160.1,,,,25.940000000000005,8.135,,2.6,,,,,,-21.998,,6.29,,,7292414.0,,,,,,,,,,,,,,47.938,,,,
Algeria,DZA,2014.0,,,164.77,,,,24.080000000000002,2.0633333333333335,,4.1,,,,,,-23.874000000000002,,1.9991666666666668,,,7701506.0,,,,,,,,,,,,,,47.95400000000001,,,,
Algeria,DZA,2015.0,,,172.65333333333334,,,,13.819999999999999,5.672499999999999,,3.18,,,,,,-21.07,,4.6225,,,7551610.0,,,,,,,,,,,,,,34.89,,,,
Algeria,DZA,2016.0,,,183.69916666666666,,,,11.72,3.2266666666666666,,3.88,,,,,,-19.788,,5.370833333333334,,,7913339.58,,,,,,,,,,,,,,31.508000000000003,,,,
Algeria,DZA,2017.0,,,193.97,,,,13.86,4.621666666666667,,1.56,,,,,,-19.616,,6.36,,,8428662.4,,,,,,,,,,,,,,33.476,,,,
Algeria,DZA,2018.0,,,202.25249999999997,,,,16.44,4.0008333333333335,,1.44,,,,,,-19.454,,4.6275,,,9073538.0,,,,,,,,,,,,,,35.894000000000005,,,,
Algeria,DZA,2019.0,,,206.20000000000002,,,,14.12,1.5391666666666666,,0.9199999999999999,,,,,,-17.866,,3.0733333333333337,,,9236039.58,,,,,,,,,,,,,,31.985999999999997,,,,
Algeria,DZA,2020.0,,,211.17999999999998,,,,8.76,-0.685,,-5.04,,,,,,-14.23,,2.033333333333333,,,8360849.6,,,,,,,,,,,,,,22.990000000000002,,,,
Algeria,DZA,2021.0,,,226.43999999999997,,,,15.459999999999999,4.8758333333333335,,3.88,,,,,,-14.974,,4.683333333333334,,,10061282.4,,,,,,,,,,,,,,30.433999999999997,,,,
Algeria,DZA,2022.0,,,247.42083333333335,,,,26.28,13.059166666666668,,3.62,,,,,,-15.553999999999998,,8.856666666666667,,,12815810.8,,,,,,,,,,,,,,41.834,,,,
Algeria,DZA,2023.0,,,270.48583333333335,,,,22.0,13.46,,3.8600000000000003,,,,,,-17.192,,9.370833333333334,,,13455305.6,,,,,,,,,,,,,,39.192,,,,
Algeria,DZA,2024.0,,,281.43,,,,,7.559166666666666,,3.6,,,,,,,,6.4075,,,14315399.52,,,,,,,,,,,,,,,,,,
Algeria,DZA,2025.0,,,288.0475,,,,,3.14,,,,,,,,,,3.9475,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1990.0,,,,,,,3882.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1991.0,,,,,,,3449.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1992.0,,,,,,,3832.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1993.0,,,,,,,2900.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1994.0,,,,,,,3016.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1995.0,,,,,,,3722.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1996.0,,,,,,,5094.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1997.0,,,,,,,5006.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1998.0,,,,,,,3542.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1999.0,,,,,,,5156.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2000.0,,,,,,,7920.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2001.0,,,,,,,6534.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2002.0,,,,,,,8327.9,,,,55490.0,,,,,,,,,,753573.7197,13580345.51,,,,,,,,,,,,,,,,,
Angola,AGO,2003.0,,,,,,,9508.2,,,3.49,107760.0,,,,,5480.12,,,,,1517650.933,14083677.03,779853.1894,,,,,,,,,,,,4028.080000000001,,,,
Angola,AGO,2004.0,,,,,,,13475.0,,,11.42,155336.0,,,,,5831.78,,,,,2255447.872,14519769.61,1690964.596,,,,,,,,,,,,7643.22,,,,
Angola,AGO,2005.0,,,,,,,24109.4,,,14.15,241374.0,,,,,8353.24,,,,,3608095.309,14948177.73,2574701.5,,,,,,,,,,,,15756.160000000002,,,,
Angola,AGO,2006.0,,,,,,,31862.2,,,11.84,305893.0,,,,,8777.63,,,,,4713881.568,15410205.33,4035359.384,,,,,,,,,,,,23084.57,,,,
Angola,AGO,2007.0,,,,,,,44396.2,,,13.0,352609.0,,,,,13661.46,,,,,5602449.613,15888562.39,5326812.926,,,,,,,,,,,,30734.739999999998,,,,
Angola,AGO,2008.0,,,,,,,63913.9,,,10.79,452873.0,,,,,20982.19,,,,,7412577.53,16367880.0,6206765.463,,,,,,,,,,,,42931.71000000001,,,,
Angola,AGO,2009.0,,,,,,,40827.9,,,2.0,383775.0,,,,,22659.94,,,,,6481521.8,16888858.0,7560502.119,,,,,,,,,,,,18167.960000000003,,,,
Angola,AGO,2010.0,,,,,,,50594.9,,,4.858,507350.0,,,,,16666.86,,,,,8781308.454,17308202.75,6824631.898,,,,,,,,,,,,33928.04,,,,
Angola,AGO,2011.0,,,,,,,67310.3,,,3.498,663525.0,,,,,20228.45,,,,,11793661.42,17774262.37,9096897.229,,,,,,,,,,,,47081.850000000006,,,,
Angola,AGO,2012.0,,,,,,,28437.314000000002,,,8.6,751446.0,,,,,9481.534,,,10.3,,13706611.88,18240321.99,12796490.94,,,,,,,,,,,,18955.780000000002,,,,
Angola,AGO,2013.0,,,,,,,27298.604,,,5.036,793353.0,,,,,10532.396,,,9.85,,14840760.47,18706381.61,14375914.13,,,,,,,,,,,,16766.208,,,,
Angola,AGO,2014.0,,,,,,,23667.954,,,4.812,624129.0,,,,,11432.11,,,9.083333333333334,,16165667.82,25901182.0,15531705.26,,,,,,,,,,,,12235.844000000001,,,,
Angola,AGO,2015.0,,,,,,,13272.446,,,1.594,592443.0,,,,,8277.016,,,9.958333333333334,,15807317.33,26681590.0,16289040.59,,,,,,,,,,,,4995.43,,,,
Angola,AGO,2016.0,,,,,,,11035.554,,,-1.718,682888.0,,,,,5216.196,,,14.833333333333334,,18781815.99,27503526.0,15538509.1,,,,,,,,,,,,5819.358,,,,
Angola,AGO,2017.0,,,,,,,13845.392000000002,,,-0.039999999999999945,818092.0,,,,,5785.296,,,16.333333333333332,,23200798.62,28359634.0,18753756.66,,,,,,,,,,,,8060.096000000001,,,,
Angola,AGO,2018.0,,,,,,,16303.114000000001,,,-0.5459999999999999,987124.0,,,,,6319.138000000001,,,17.25,,28873391.11,29250009.0,23062890.47,,,,,,,,,,,,9983.976,,,,
Angola,AGO,2019.0,,,,,,,13890.232,,,-0.202,1144586.0,,,,,5650.824,,,15.6,,34538508.02,30175553.0,28814292.98,,,,,,,,,,,,8239.408,,,,
Angola,AGO,2020.0,,,,,,,8374.968,,,-4.087999999999999,1235754.0,,,,,3817.254,,,15.5,,38466148.28,31127674.0,33142307.05,,,,,,,,,,,,4557.714000000001,,,,
Angola,AGO,2021.0,,,113.685,,,,13432.598000000002,,,2.2699999999999996,1659871.0,,,,,4717.938,,,18.125,,53277982.46,32097671.0,39274996.18,,,,,,,,,,,,8714.660000000002,,,,
Angola,AGO,2022.0,,,137.96166666666667,,,,20015.2,,,4.388,1982276.0,,,,,6906.93,,18.29714285714286,19.833333333333332,,65586149.32,33086278.0,55524183.58,,,,,,,,,,,,13108.27,,,,
Angola,AGO,2023.0,,,156.78833333333333,,,,14753.878,,,1.2799999999999998,2298268.0,,,,,6033.9400000000005,,13.5675,17.458333333333332,,78322351.9,34078866.34,66414704.48,,,,,,,,,,,,8719.938,,,,
Angola,AGO,2024.0,,,201.06166666666664,,,,14718.008000000002,,,4.4325,,,,,,5676.094,,28.17833333333333,19.166666666666668,,,,,,,,,,,,,,,,9041.914,,,,
Angola,AGO,2025.0,,,231.548,,,,7778.95,,,3.51,,,,,,3806.89,,23.73,19.5,,,,,,,,,,,,,,,,3972.06,,,,
Botswana,BWA,1960.0,,,,,,,,,,,,,,,,,,,,,,516165.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1961.0,,,,,,,,,,,,,,,,,,,,,,527942.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1962.0,,,,,,,,,,,,,,,,,,,,,,540186.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1963.0,,,,,,,,,,,,,,,,,,,,,,552966.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1964.0,,,,,,,,,,,,,,,,,,,,,,566266.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1965.0,,,,,,,,,,,,,,,,,,,,,,574664.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1966.0,,,,,,,,,,,,,,,,,,,,,,577866.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1967.0,,,,,,,,,,,,,,,,,,,,,,580933.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1968.0,,,,,,,,,,,,,,,,,,,,,,583966.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1969.0,,,,,,,,,,,,,,,,,,,,,,587066.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1970.0,,,,,,,,,,,,,,,,,,,,,,590334.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1971.0,,,,,,,,,,,,,,,,,,,,,,600481.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1972.0,,,,,,,,,,,,,,,,,,,,,,622407.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1973.0,,,,,,,,,,,,,,,,,,,,,,652408.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1974.0,,,,,,,,,,,,,,,,,,,,,,685448.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1975.0,,,,,,,,,,,,,,,,,,,,,,720380.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1976.0,,,,,,,,,,,,,,,,,,,,,,758508.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1977.0,,,,,,,,,,,,,,,,,,,,,,799574.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1978.0,,,,,,,,,,,,,,,,,,,,,,849239.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1979.0,,,,,,,,,,,,,,,,,,,,,,901742.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1980.0,,,,,,,,,,,,,,,,,,,,,,937485.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1981.0,,,,,,,,,,,,,,,,,,,,,,969996.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1982.0,,,,,,,,,,,,,,,,,,,,,,1009269.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1983.0,,,,,,,,,,,,,,,,,,,,,,1046137.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1984.0,,,,,,,,,,,,,,,,,,,,,,1083660.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1985.0,,,,,,,,,,,,,,,,,,,,,,1121945.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1986.0,,,,,,,,,,,,,,,,,,,,,,1160650.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1987.0,,,,,,,,,,,,,,,,,,,,,,1199167.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1988.0,,,,,,,,,,,,,,,,,,,,,,1235476.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1989.0,,,,,,,,,,,,,,,,,,,,,,1270274.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1990.0,,,,,,,,,,,,,,,,,,,,,,1305696.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1991.0,,,,,,,,,,,,,,,,,,,,,,1341756.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1992.0,,,,,,,,,,,,,,,,,,,,,,1380033.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1993.0,,,,,,,,,,,,,,,,,,,,,,1420115.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1994.0,,,,,,,,,,,,,,,,,,,,,,1460023.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1995.0,,,,,,,,,,,,,,,,,,,,,,1498836.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1996.0,,,,,,,,,,,,,,,,,,,,,,1535914.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1997.0,,,,,,,,,,,,,,,,,,,,,,1571691.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1998.0,,,,,,,,,,,,,,,,,,,,,,1606899.0,,,,,,,,,,,,,,,,,
Botswana,BWA,1999.0,,,,,,,,,,,,,,,,,,,,,,1641997.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2000.0,,,,,,,,,,,,,,,,,,,,,,1677382.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2001.0,,,,,,,,,,,,,,,,,,,,,,1712254.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2002.0,,,,,,,,,,,,,,,,,,,,,,1744763.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2003.0,,,,,,,,,,,,,,,,,,,,,,1775736.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2004.0,,,,,,,,,,,,,,,,,,,,,,1807146.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2005.0,,,,,,,,,,,,,,,,,,,,,,1839877.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2006.0,,,,,,,,,,,,,,,,,,,,,,1874516.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2007.0,,,,,,,,,,,,,,,,,,,,,,1911201.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2008.0,,,,,,,,,,,,,,,,,,,,,,1949970.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2009.0,,,,,,,,,,,,,,,,,,,,,,1990673.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2010.0,,,,,,,,,,,,,,,,,,,,,,2033111.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2011.0,,,,,,,,,,,,,,,,,,,,,,2073535.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2012.0,,,,,,,,,,,,,,,,,,,,,,2108617.0,,,,,,,,,,,,,,,,,
Botswana,BWA,2013.0,,,,,,,,,,,,,,,,,,,,,,2140682.0,152500.4,,,,,,,,,,,,,,,,
Botswana,BWA,2014.0,,,,,,,,,,,,,,,,,,,7.479166666666667,,,2172044.0,70893.175,,,,,,,,,,,,,,,,
Botswana,BWA,2015.0,,,,,,,,,,,,,70162.76,,,,,,6.895833333333333,,,2203273.0,61347.52,,,,,,,,,,,,,,,,
Botswana,BWA,2016.0,,,,,,,,,,,,,74072.23,,,,,,5.791666666666667,,,2234776.0,65767.26000000001,,,,,,,,,,,,,,,,
Botswana,BWA,2017.0,,,,,,,,,,,,,75946.28,,,,,,5.416666666666667,,,2266747.0,68473.16,,,,,,,,,,,,,,,,
Botswana,BWA,2018.0,,,,,,,,,,,,,77927.75,,,,,,5.0,,,2299141.0,71341.3,,,,,,,,,,,,,,,,
Botswana,BWA,2019.0,,,,,,,,,,,,,79087.81,,,,,,4.895833333333333,,,2332083.0,73504.2,,,,,,,,,,,,,,,,
Botswana,BWA,2020.0,,,,,,,,,,,,,70627.99,,,,,,4.25,,,2365894.0,67088.1,,,,,,,,,,,,,,,,
Botswana,BWA,2021.0,,,,,,,,,,,,,77876.73,,,,,,3.75,,,2401441.0,75082.51999999999,,,,,,,,,,,,,,,,
Botswana,BWA,2022.0,,,,,,,,,,,,,80960.0,,,,,,3.2291666666666665,962319.0,,2439892.0,79201.56,,,25.4,,,,,,,,,,,,,
Botswana,BWA,2023.0,,,,,,,,,,,,,82375.03,,,,,,1.8999999999999997,1063776.0,,2480244.0,81742.4,,,25.9,,,,,,,,,,,,,
Botswana,BWA,2024.0,,,,,,,,,,,,,78804.33,,,,,,1.8999999999999997,1041204.0,,,79299.18000000001,,,27.6,,,,,,,,,,,,,
Botswana,BWA,2025.0,,,,,,,,,,,,,,,,,,,1.8999999999999997,,,,49435.2,,,,,,,,,,,,,,,,
Egypt,EGY,1982.0,,,,,,,,,,,,,,,,,,,,,22.5,,1319.4,,,,,,,,,,,,,,,,
Egypt,EGY,1983.0,,,,,,,,,,4.89,,,,,,,,,,,26.6,,1383.91,,,,,,,,,,,,,,,,
Egypt,EGY,1984.0,,,,,,,,,,9.75,,,,,,,,,,,31.6,,1518.78,,,,,,,,,,,,,,,,
Egypt,EGY,1985.0,,,,,,,,,,5.79,,,,,,,,,,,37.3,,1606.74,,,,,,,,,,,,,,,,
Egypt,EGY,1986.0,,,,,,,,,,4.74,,,,,,,,,,,44.1,,1682.97,,,,,,,,,,,,,,,,
Egypt,EGY,1987.0,,,,,,,,,,3.48,,,,,,,,,,,51.5,,1741.61,,,,,,,,,,,,,,,,
Egypt,EGY,1988.0,,,,,,,,,,5.39,,,,,,,,,,,61.6,,1835.43,,,,,,,,,,,,,,,,
Egypt,EGY,1989.0,,,,,,,,,,5.11,,,,,,,,,,,77.0,,1929.26,,,,,,,,,,,,,,,,
Egypt,EGY,1990.0,,,,,,,,,,5.78,,,,,,,,,,,95.8,,2040.68,,,,,,,,,,,,,,,,
Egypt,EGY,1991.0,,,,,,,,,,1.15,,,,,,,,,,,112.5,,2064.13,,,,,,,,,,,,,,,,
Egypt,EGY,1992.0,,,,,,,,,,4.26,,,,,,,,,,,139.1,,2152.09,,,,,,,,,,,,,,,,
Egypt,EGY,1993.0,,,,,,,,,,3.0,,,,,,,,,,,155.2,,2216.6,,,,,,,,,,,,,,,,
Egypt,EGY,1994.0,,,,,,,,,,3.97,,,,,,,,,,,175.0,,2304.56,,,,,,,,,,,,,,,,
Egypt,EGY,1995.0,,,,,,,,,,4.58,,,,,,,,,,,204.0,,2410.11,,,,,,,,,,,,,,,,
Egypt,EGY,1996.0,,,,,,,,,,5.11,,,,,,,,,,,229.4,,2533.25,,,,,,,,,,,,,,,,
Egypt,EGY,1997.0,,,,,,,,,,5.32,,,,,,,,,,,265.9,,2668.12,,,,,,,,,,,,,,,,
Egypt,EGY,1998.0,,,,,,,,,,4.18,,,,,,,,,,,287.4,,2779.54,,,,,,,,,,,,,,,,
Egypt,EGY,1999.0,,,,,,,,,,5.91,,,,,,,,,,,307.6,,2943.73,,,,,,,,,,,,,,,,
Egypt,EGY,2000.0,,,,,,,,,,5.58,,,,,,,,2.6750000000000003,,,340.1,,3107.92,,,,,,,,,,,,,,,,
Egypt,EGY,2001.0,,,,,,,,,,3.4,,,,,,,,2.2916666666666665,,,183.96666666666667,,1617.96,,,,,,,,,,,,,,,,
Egypt,EGY,2002.0,,,,,,,,,,3.0,,,,,,,,2.725,,,155.28,,1326.782,,,,,,,,,,,,,,,,
Egypt,EGY,2003.0,,,,,,,,,,3.5700000000000003,,,,,,,,4.216666666666667,,,172.14000000000001,,1372.326,,,,,,,,,,,,,,,,
Egypt,EGY,2004.0,,,,,,,,,,4.061999999999999,,,,19142.033333333333,,,,13.708333333333334,,,200.38,,1428.234,,,,,,9552.866220847058,,,,,,,,,,
Egypt,EGY,2005.0,,,136.68333333333334,,,,4287.75,,,5.374,,,,18637.879999999997,,7297.3,,4.8500000000000005,,,221.82,,1500.458,,,,,,8402.25407988459,,,,,-2.6337501588998835,-3009.55,,,,
Egypt,EGY,2006.0,-6029.5,,145.85833333333332,6085.0,,68550.5,7800.139999999999,,,6.970000000000001,,,,18671.32,,12742.380000000001,,7.608333333333333,,,260.7,,1604.444,66418.5,30265.0,,,-2312.811660912927,7161.994629842731,,,,-2132.0,0.17941954771680813,-4942.240000000002,-9.078043015123798,11609.129267357115,,
Egypt,EGY,2007.0,-39519.8,,140.11666666666667,12435.0,,158087.4,9294.42,,,7.258,,,,19912.859999999997,,16712.739999999998,,9.433333333333334,,,312.44,,1719.9240000000002,128574.4,71242.2,,,-12648.764562796057,6373.338881065163,130.61451047038312,93.58220977589073,,-29513.0,6.649449530081419,-7418.319999999998,-30.736911858037065,22801.881961336578,,
Egypt,EGY,2008.0,-49825.6,,121.49166666666667,13795.8,,207988.2,11840.960000000001,,,6.26,,,,23378.559999999998,,21878.84,,18.175,,,374.46,,1832.94,164589.2,92074.0,,,-13305.987288361908,6243.272979757517,31.565323991665384,28.010863748926695,49662.03792022636,-43399.0,17.404330668723645,-10037.88,-30.272703190731832,24588.474069326498,,
Egypt,EGY,2009.0,-59976.4,,117.86,15691.8,,241052.2,9651.640000000001,,,4.64,,,,25733.52,,19181.3,,11.924999999999999,,,433.2,,1918.1739999999998,183842.2,105275.8,,,-13844.967682363804,5940.3324099722995,15.897055698352114,11.697608348542921,51649.00863026479,-57210.0,10.073161050124568,-9529.659999999998,-32.62384806100014,24301.892890120038,,
Egypt,EGY,2010.0,-77000.6,,105.10000000000001,17531.2,,262628.0,9779.46,,,5.446,,,,26251.340000000004,,20338.120000000003,,11.416666666666666,10.942857142857141,,502.82,,2020.55,188083.0,110376.8,9.0,,-15313.750447476235,5220.8225607573295,8.950675413873,2.3067609069082007,50460.335000453575,-74545.0,2.0122392894559527,-10558.660000000003,-40.93969151916973,21951.553239727935,,
